"Latest: Time (s)","Latest: Temperature (°C)"
864,42.0430157042
866,42.0089741592
868,41.9798078385
870,41.9571306564
872,41.9409368052
874,41.9360793211
876,41.9182711943
878,41.9117965428
880,41.903704001
882,41.8939940831
884,41.8859034279
886,41.8761957724
888,41.8664893496
890,41.8648717322
892,41.8584016049
894,41.8438458181
896,41.8276759662
898,41.7888822303
900,41.7678771388
902,41.7581844169
904,41.7371877077
906,41.7145822675
908,41.6919834533
910,41.6564843897
912,41.6322898235
914,41.5935942297
916,41.5629738985
918,41.5323656251
920,41.5065995675
922,41.4760134287
924,41.4534839377
926,41.4293523984
928,41.4052282944
930,41.3795040961
932,41.3666451578
934,41.344147078
936,41.3248681301
938,41.3055939011
940,41.2766913895
942,41.2477994543
944,41.2221265931
946,41.1836328959
948,41.141952448
950,41.0826755803
952,41.0474507444
954,41.0250430174
956,40.9994418621
958,40.9610554448
960,40.9386718354
962,40.9051080897
964,40.8667666246
966,40.8332327636
968,40.8108845731
970,40.7662066616
972,40.7390927706
974,40.7056116051
976,40.6657709883
978,40.6355051048
980,40.5972904971
982,40.5575025283
984,40.5225050313
986,40.5002416338
988,40.4700366245
990,40.4334874227
992,40.4096596722
994,40.371549495
996,40.3429783215
998,40.3191764945
1000,40.2906232631
1002,40.262079785
1004,40.2319611138
1006,40.1971003709
1008,40.1559199454
1010,40.1305881504
1012,40.100516518
1014,40.0578015366
1016,40.0151080744
1018,39.9834971156
1020,39.9471590163
1022,39.9076786266
1024,39.8792640285
1026,39.8350822581
1028,39.8098457332
1030,39.7578187503
1032,39.7200006337
1034,39.6869233351
1036,39.6349701908
1038,39.6034985354
1040,39.5547399037
1042,39.5170099527
1044,39.4855807292
1046,39.4431691048
1048,39.4070567879
1050,39.3615449081
1052,39.3286026316
1054,39.3019440306
1056,39.2627547212
1058,39.2173167006
1060,39.1938233417
1062,39.1531161148
1064,39.126509833
1066,39.0936541142
1068,39.0561193833
1070,39.021726243
1072,38.9795343251
1074,38.942046852
1076,38.9076968931
1078,38.8827232269
1080,38.8452755152
1082,38.8078431027
1084,38.7860145736
1086,38.7532814862
1088,38.71744429
1090,38.6940796917
1092,38.659822275
1094,38.6302464998
1096,38.5929010651
1098,38.5493502887
1100,38.5167005159
1102,38.4778465615
1104,38.4327960875
1106,38.4079498703
1108,38.3660366901
1110,38.3381048735
1112,38.3101812751
1114,38.2977734193
1116,38.2776141023
1118,38.2481581507
1120,38.235758363
1122,38.2140626027
1124,38.1908225988
1126,38.161393341
1128,38.1366177959
1130,38.1133965109
1132,38.0901808152
1134,38.0561412135
1136,38.0298460779
1138,38.0097428404
1140,37.9680032385
1142,37.9154676618
1144,37.8892104528
1146,37.8552409679
1148,37.8398041745
1150,37.8089378474
1152,37.7703685138
1154,37.7472341325
1156,37.7225634105
1158,37.6978988176
1160,37.6686175544
1162,37.6424258187
1164,37.6208613104
1166,37.5916026233
1168,37.5638917406
1170,37.5469610747
1172,37.5223397353
1174,37.4977244083
1176,37.4608126597
1178,37.4362123011
1180,37.4100809527
1182,37.3762738776
1184,37.3501579064
1186,37.3271199461
1188,37.305622528
1190,37.2749197469
1192,37.2503641262
1194,37.2304169962
1196,37.2074058702
1198,37.1828663169
1200,37.1598657683
1202,37.1445349034
1204,37.126140853
1206,37.1031528642
1208,37.0709781978
1210,37.0556604128
1212,37.0326879407
1214,37.0020658101
1216,36.9760440183
1218,36.9576795685
1220,36.9362584199
1222,36.9117824272
1224,36.8857828877
1226,36.8628474116
1228,36.8383883607
1230,36.8231043085
1232,36.7971264479
1234,36.786431519
1236,36.7650448698
1238,36.7482440703
1240,36.7406082137
1242,36.7299189271
1244,36.7131236257
1246,36.6886987767
1248,36.6688576628
1250,36.6535977492
1252,36.6322374885
1254,36.6032553003
1256,36.5803800915
1258,36.5636079966
1260,36.5483628788
1262,36.5453141111
1264,36.5254991969
1266,36.5087355377
1268,36.4858801402
1270,36.4736925436
1272,36.452367505
1274,36.4493214087
1276,36.4325693867
1278,36.4127748271
1280,36.4005953252
1282,36.3853728364
1284,36.3762403491
1286,36.3594994125
1288,36.3503690586
1290,36.3366749367
1292,36.3305892024
1294,36.3260251205
1296,36.3184187337
1298,36.3092917562
1300,36.3032075203
1302,36.2940817897
1304,36.2895192046
1306,36.2849568061
1308,36.2819153109
1310,36.2803945943
1312,36.2773532234
1314,36.275832569
1316,36.2727913224
1318,36.2712707302
1320,36.2773532234
1322,36.2788738985
1324,36.2819153109
1326,36.2849568061
1328,36.3001655271
1330,36.3123339989
1332,36.321461226
1334,36.3275464603
1336,36.3305892024
1338,36.3351534719
1340,36.3366749367
1342,36.3336320279
1344,36.3336320279
1346,36.3321106047
1348,36.3260251205
1350,36.3168975188
1352,36.2956026929
1354,36.2788738985
1356,36.2575863313
1358,36.2393430707
1360,36.2180630218
1362,36.2074245111
1364,36.1952674471
1366,36.1876699498
1368,36.1831116977
1370,36.1815923213
1372,36.1785536301
1374,36.1785536301
1376,36.1800729655
1378,36.1831116977
1380,36.1831116977
1382,36.1831116977
1384,36.1876699498
1386,36.1967870082
1388,36.199826192
1390,36.1967870082
1392,36.1983065898
1394,36.1922283866
1396,36.1907088871
1398,36.1831116977
1400,36.1785536301
1402,36.161842294
1404,36.1572850868
1406,36.1451334342
1408,36.1360205529
1410,36.1284270465
1412,36.1147600195
1414,36.101094642
1416,36.0889490225
1418,36.079840661
1420,36.0692151623
1422,36.0631438947
1424,36.0616261285
1426,36.0555552658
1428,36.0403795254
1430,36.0297577093
1432,36.0206540827
1434,36.0145854015
1436,36.0115511818
1438,36.0070000033
1440,35.9963812912
1442,35.9903138982
1444,35.9903138982
1446,35.9887971001
1448,35.9812134114
1450,35.9766634391
1452,35.9660475391
1454,35.9493673944
1456,35.9372379009
1458,35.9205619348
1460,35.9069197578
1462,35.8947947325
1464,35.8932791938
1466,35.8917636751
1468,35.8811556004
1470,35.8781249007
1472,35.8766095807
1474,35.869033278
1476,35.8508521739
1478,35.8296444879
1480,35.8175275487
1482,35.7978402138
1484,35.7796702415
1486,35.7721002548
1488,35.7630169184
1490,35.7509069009
1492,35.7418252102
1494,35.7206373359
1496,35.703992404
1498,35.6979402861
1500,35.6782730529
1502,35.6737349271
1504,35.6601215976
1506,35.6434852159
1508,35.6313875
1510,35.6177790478
1512,35.6041721585
1514,35.5920784559
1516,35.5814974763
1518,35.5799859846
1520,35.5709174383
1522,35.5603383408
1524,35.5542935642
1526,35.5406939371
1528,35.5255850577
1530,35.510478088
1532,35.507456923
1534,35.507456923
1536,35.4999043439
1538,35.4893315328
1540,35.4832903451
1542,35.4712088817
1544,35.4591286332
1546,35.4395008161
1548,35.4349717741
1550,35.4213856686
1552,35.4108197548
1554,35.4047825046
1556,35.3881816205
1558,35.3761096796
1560,35.3640389407
1562,35.3459350824
1564,35.3308505928
1566,35.3218007961
1568,35.3112435491
1570,35.2991792425
1572,35.2916396561
1574,35.2856083217
1576,35.2614859565
1578,35.2433972976
1580,35.2238042564
1582,35.2057211409
1584,35.1966805782
1586,35.1861340923
1588,35.1710692456
1590,35.1620312184
1592,35.1469693056
1594,35.1304033145
1596,35.1243798658
1598,35.121368251
1600,35.1078168867
1602,35.0987834636
1604,35.0912561114
1606,35.0762027699
1608,35.0611512431
1610,35.0521211967
1612,35.0400821482
1614,35.0250349636
1616,35.0114940399
1618,35.003971935
1620,34.997954575
1622,34.9829124334
1624,34.9693760407
1626,34.943811258
1628,34.9347896272
1630,34.9257686391
1632,34.9107350849
1634,34.9077285877
1636,34.8942002309
1638,34.8776675265
1640,34.8611369674
1642,34.8491160876
1644,34.81155812
1646,34.7905304638
1648,34.7815196645
1650,34.7650015043
1652,34.742480151
1654,34.7394776007
1656,34.7379763517
1658,34.7259669874
1660,34.7199627233
1662,34.7139587376
1664,34.6974492107
1666,34.6854436012
1668,34.6719386161
1670,34.6644364523
1672,34.6569347205
1674,34.6494334205
1676,34.6464330213
1678,34.6389323251
1680,34.6239322246
1682,34.610433605
1684,34.5954367699
1686,34.571445398
1688,34.5489574609
1690,34.5354665401
1692,34.5249745548
1694,34.5174807895
1696,34.4965005037
1698,34.4800183226
1700,34.4650362964
1702,34.454549882
1704,34.4440642933
1706,34.4320817729
1708,34.4215979497
1710,34.4066224856
1712,34.3766765794
1714,34.3587122414
1716,34.3407503011
1718,34.3227907532
1720,34.2943596822
1722,34.2793983571
1724,34.2629428037
1726,34.2420022509
1728,34.2375154083
1730,34.2195695133
1732,34.2076068928
1734,34.1836847874
1736,34.1672407598
1738,34.1507986993
1740,34.1433256846
1742,34.1298752789
1744,34.1104492283
1746,34.0955079688
1748,34.0895319163
1750,34.0745929113
1752,34.0716053032
1754,34.0551746063
1756,34.047706749
1758,34.0312788714
1760,34.022319026
1762,34.0103734591
1764,33.9999219246
1766,33.98947117
1768,33.9805140001
1770,33.9775284038
1772,33.9715574016
1774,33.958123574
1776,33.9536459165
1778,33.9417061922
1780,33.9297674787
1782,33.9193219324
1784,33.9103692213
1786,33.9058930781
1788,33.9014170764
1790,33.8879899194
1792,33.8850062793
1794,33.882022702
1796,33.8805309368
1798,33.8715806748
1800,33.8656141466
1802,33.8581563381
1804,33.8506989201
1806,33.8402591905
1808,33.8313114588
1810,33.8193820216
1812,33.7940352688
1814,33.7865811942
1816,33.7642212908
1818,33.7627307541
1820,33.7493166182
1822,33.7254723443
1824,33.7075917189
1826,33.6912030833
1828,33.674816297
1830,33.6673683681
1832,33.6494948919
1834,33.6360912213
1836,33.6152435089
1838,33.5988652441
1840,33.5884436633
1842,33.5735569718
1844,33.5571833487
1846,33.5378350448
1848,33.5259296543
1850,33.5080733619
1852,33.4976581833
1854,33.4798052884
1856,33.4783176438
1858,33.4708796435
1860,33.4589796143
1862,33.4530299553
1864,33.4381568435
1866,33.4247723059
1868,33.4158499444
1870,33.4039542869
1872,33.3920595703
1874,33.3846258495
1876,33.3771924953
1878,33.3563810505
1880,33.3400312097
1882,33.3251692483
1884,33.3132807264
1886,33.2939638593
1888,33.2880207005
1890,33.2657359152
1892,33.2464250599
1894,33.2211760698
1896,33.2152357335
1898,33.1944463596
1900,33.1795985208
1902,33.1573294335
1904,33.1454538944
1906,33.1291265097
1908,33.1231897036
1910,33.1202213853
1912,33.102412662
1914,33.0979607985
1916,33.086089782
1918,33.0771871103
1920,33.0727359641
1922,33.0564161747
1924,33.0371313349
1926,33.0267481683
1928,33.0104331435
1930,33.0045008247
1932,32.9837394589
1934,32.9644634798
1936,32.9481548601
1938,32.9348126849
1940,32.9140604045
1942,32.8962748757
1944,32.8770094426
1946,32.8547829613
1948,32.8414485418
1950,32.8295966475
1952,32.8162643027
1954,32.8044142491
1956,32.7910839714
1958,32.7762738313
1960,32.7644266873
1962,32.752580402
1964,32.7407349739
1966,32.7288904016
1968,32.7244489074
1970,32.7185271017
1972,32.702243235
1974,32.6918816122
1976,32.6682003436
1978,32.6519214364
1980,32.6386035181
1982,32.6252866664
1984,32.6060530926
1986,32.5883009901
1988,32.569071669
1990,32.5528024252
1992,32.536534754
1994,32.5276621403
1996,32.5113968919
1998,32.4951332063
2000,32.4729579645
2002,32.4626105075
2004,32.4522636786
2006,32.434527716
2008,32.4182713649
2010,32.3975836908
2012,32.3842857856
2014,32.3724662865
2016,32.359170317
2018,32.3443982156
2020,32.3281503575
2022,32.3119040182
2024,32.2941824665
2026,32.2764627127
2028,32.26022118
2030,32.2513627957
2032,32.2395523109
2034,32.2247903188
2036,32.2129816142
2038,32.2026496448
2040,32.1908424179
2042,32.1775602271
2044,32.1642790288
2046,32.1569010135
2048,32.1465723049
2050,32.1362441938
2052,32.1244413686
2054,32.1096889304
2056,32.0978878527
2058,32.0905125723
2060,32.0831375941
2062,32.0698633933
2064,32.0595396893
2066,32.0462672212
2068,32.028572108
2070,32.0226741199
2072,32.0079299858
2074,31.9990840777
2076,31.9887643932
2078,31.9769711808
2080,31.9696008087
2082,31.9651787275
2084,31.9563348847
2086,31.9430699181
2088,31.9268584781
2090,31.9135956313
2092,31.8944398635
2094,31.8841260385
2096,31.8738127856
2098,31.8620269103
2100,31.8414034192
2102,31.828146661
2104,31.8148908397
2106,31.8001632458
2108,31.785436803
2110,31.7721839864
2112,31.7545150076
2114,31.7294867688
2116,31.7147658117
2118,31.702989863
2120,31.688270946
2122,31.6720814414
2124,31.6529501471
2126,31.6397065164
2128,31.6279351617
2130,31.6146932426
2132,31.5985099009
2134,31.586741043
2136,31.5705600224
2138,31.5558511654
2140,31.5352606187
2142,31.52349556
2144,31.5102607081
2146,31.5014379661
2148,31.4896749221
2150,31.4779125759
2152,31.4602703621
2154,31.4514498412
2156,31.4382197907
2158,31.4294002434
2160,31.4191112624
2162,31.4058833475
2164,31.3941259314
2166,31.3823692013
2168,31.3691436981
2170,31.3500417187
2172,31.3397567821
2174,31.3324107173
2176,31.3162503068
2178,31.3044980843
2180,31.2809956623
2182,31.2633706101
2184,31.2486842178
2186,31.2295934674
2188,31.2222513394
2190,31.2105044743
2192,31.1987582724
2194,31.1826083248
2196,31.1576517664
2198,31.1415049858
2200,31.1253594426
2202,31.1048123531
2204,31.0783975904
2206,31.0593222988
2208,31.0417158475
2210,31.0226438221
2212,31.0035734861
2214,30.9801046132
2216,30.9639712359
2218,30.949305567
2220,30.9317080649
2222,30.9111794325
2224,30.8965172978
2226,30.87745798
2228,30.8715939051
2230,30.859866221
2232,30.8466733168
2234,30.8349469474
2236,30.82468688
2238,30.8144272836
2240,30.8027026061
2242,30.7895130759
2244,30.774858949
2246,30.7631363328
2248,30.752879542
2250,30.7470187272
